text	id	sentiment
你的樣子好棒喔，跟棒槌一個樣。	0	Ironic
牛糞就是牛糞，即便你再香餑餑，鮮花一般還是不會插在你身上的，因為那樣有辱美感。	1	Ironic
你長得很安全	10	Ironic
這樣子藍綠撈錢會增加困難度 很不方便	100	Ironic
韓國很強大 幫北韓工業區被炸掉 當作沒事	101	Ironic
注意！政府9月幫你虧了897億	102	Ironic
只要沒有台灣價值的都有可能掏空台灣。	103	Ironic
台北人有錢 住不起的連人都不配當	104	Ironic
什麼是女生啊？新的手遊嗎？	105	Ironic
選到我贏為止，這個還挺民主的	106	Ironic
台灣最強的大概就是九把刀了……	107	No
不搬我今天晚上是要怎麼睡覺， 你這個問題也是蠻有想法的。	108	Ironic
原來失竊一台不算什麼	109	Ironic
今天很早嘛。	11	Ironic
發文前多想兩分鐘，不夠就五分鐘	110	No
現在的鄉民都經過科學化的訓練，怎麼可能會相信這種去脈絡化的對應關係	111	Ironic
那為何還要先鋪個爛地，等到之後再處理爛攤子重新鋪路	112	No
如果遇到好老闆，或好機緣，創造足夠的被動收入，才可能突破到下一個階段	113	No
如果恐龍妹找你聊歷史你會想認識他嗎？	114	No
當老婆不用一堆內心戲 紀念日到了大家互相提早提醒	115	No
這些員工超幸福！公司提供靈魂洗滌假、全薪運動假	116	No
薪水連垃圾袋都買不起嗎？哪你們要先離職才對...	117	Ironic
我妹當工程師月入才7萬而已	118	No
在台灣，肝輕鬆爆	119	No
喔喔是喔是喔	12	No
剛畢業警察時薪才163還比輔警低 可憐	120	Ironic
公務員有那麼好考？？	121	Ironic
韓國會為了他蓋一條賽道嗎？	122	No
想看陳時中示範室內游泳池戴法	123	No
幹脆去搶警察局算了XD	124	No
連保險套都幫你準備好了 真的溫馨	125	Ironic
學店都不如，至少人家付了錢有床睡	126	Ironic
笑死 這什麼處理方式 還把名字po出來 我看原po還不氣到直接睡路邊	127	Ironic
曾經是公主 也有公主病的阿母滑倒骨折開刀	128	No
欸欸 人家調查官 鄉民不要太嘴	129	Ironic
到現在都還沒人回 好邊緣	13	No
國家感謝您的無私奉獻?	130	Ironic
他就說會寄一個替代的新品過來然後結果寄來的替換品	131	No
訊源一定要破萬不然垃圾 電源一定要水力發電不然不純	132	Ironic
前兩個月阿肥我在健身房認識了一個差不多年紀的女孩子	133	No
最近天氣變好冷	134	No
阿姨我，不想努力了	135	No
每日頭條這種網站還有人看？不可思議	14	Ironic
現在放棄，學期就結束囉～	15	No
標題很會下	16	Ironic
又不是在跟你講的 不要自抬身價	17	No
市長很暖就好，荒腔走板無所謂XD	18	Ironic
這個跟砍頭實驗可以活多久一樣偉大 自己的實驗自己做	19	Ironic
拍腦袋決策，拍胸脯保證，拍屁股走人。	2	Ironic
這種時候就跑第一個	20	Ironic
蔡英文德政	21	Ironic
電子菸可能要被永ban了	22	No
有萊豬可以吃當然幸福啊	23	Ironic
別的我不知道 高雄肯定是最溫暖的 畢竟有個暖男市長	24	Ironic
歡迎來高雄定居喔^ ^	25	Ironic
父母親是真的老了很多呢	26	No
我就是故意坐在博愛座	27	No
不，中壢火車站才是最國際化	28	No
一年一度的年會果然名不虛傳	29	No
面具帶久了，那就是臉了。	3	Ironic
國際商工知名打架學校  國際化是這個意思吧	30	Ironic
高捷還會有日語  但台北的卻沒有  這點高雄國際化贏	31	No
一 堆人大學只在混，好意思說人家實習、打工、擔任學校社團幹部	32	No
萊豬檢驗問對岸最清楚，快篩試劑淘寶早就有賣	33	Ironic
現在拿雙系統也很平常了，還在分哪邊好，跟統獨一樣白癡	34	Ironic
空姐就是會飛講英文的服務員 不懂一堆人嚮往什麼	35	Ironic
萊豬香噴噴	36	Ironic
皮諾可，這個直接電死	37	No
有些人講話還真是不尊重專業阿：）	38	No
建議提前預定小巨蛋場地，供萬人欣賞	39	Ironic
真正的好朋友，並不是在一起就有聊不完的話題，而是在一起，就算不說話，也不會覺得尷尬。	4	No
我懷疑你在開車，但我沒有證據	40	No
小姐妳怎麼什麼都不知道😅	41	No
三寶又調皮了	42	Ironic
川粉加油 不然沒東西一直笑很難過	43	Ironic
我猜明年春節一樓就會說 年菜美豬 竹筍爌肉 真香	44	Ironic
現在在女五樓下側門外大聲講話的人類 祝你們一生平安☺️	45	Ironic
住三樓都聽到你們的談話內容 身體很健康肺活量很好喔 中氣十足	46	Ironic
各位北漂仔還願意回台南定居嗎？	47	No
4%仔感到欣慰	48	Ironic
睡吧，夢裡什麼都有	49	Ironic
忙碌是一種幸福，讓我們沒時間體會痛苦	5	No
蔡英文 : 好險我都吃法國菜 伊比利豬  (哈欠	50	Ironic
公共議題	51	Ironic
可這種東西 感覺如果不是一群人玩 好像很無聊??	52	No
什麼都不敢以身試法 zzzzz	53	No
萊豬也可以先吃一下	54	Ironic
車是拿來開 不是拿來碰碰車的	55	No
南投就是個地靈人傑的好地方，有山水田園及名勝	56	No
薛丁格的台灣錢淹腳目	57	No
每日頭條這種網站還有人看？不可思議	58	Ironic
看看那精美的iphone價格	59	Ironic
長得真有創意，活得真有勇氣！	6	Ironic
很快人均就要4萬鎂惹 好興奮!!!	60	Ironic
妄想用法律綁住婚姻  笑死	61	Ironic
年輕人生，老年人死，才能新陳代謝，維持整體族群健康	62	No
疑~你剛不是很忙跑上跑下怎麼身上沒臭味反而有股牛奶味道	63	No
尊重友善包容:)	64	Ironic
啊妳們知道現在幾點嗎？？？？	65	No
拾獲者請明白拾遺不報這一類行為是犯法的	66	No
便宜的東西還在海上	67	No
醫生應該不用拚績效沒差吧	68	Ironic
敦品勵學 愛國愛人	69	Ironic
我覺得世界上就只有兩種人能吸引人，一種是特別漂亮的一種就是你這樣的。	7	Ironic
高雄人放心 卵男會讓高雄人ㄘ到營養豐富的萊豬！！	70	Ironic
這樣也自爽  宅男多愛自我催眠	71	Ironic
八卦版鄉民-1	72	No
這我一定吉	73	No
笑死  笑著笑著就哭了  哭著哭著 就又笑了  XDDDDDDDDD	74	No
原來告示牌也是cosplay的，車子光天化日開進去	75	Ironic
把人家撞成植物人只要五百萬？真便宜	76	Ironic
家教真好	77	Ironic
校內腳踏車安全已經是司空見慣的話題，但車速飛快的汽車更加危險。	78	No
學好中文再來	79	Ironic
世界上最圓的不一定是球喔	8	Ironic
有台灣價值就是熱心民眾 沒有就是檢舉魔人 懂?	80	Ironic
醒醒	81	No
阿北務實 阿北政績+1	82	Ironic
好了啦 再洗也不會白了啦	83	Ironic
就挾著根本很難用社宅處理的族群來打社宅，我是不懂這樣	84	No
現在記者真有水準	85	Ironic
接近後輸入指令：→↓↘ + 重拳  這樣就可以了	86	No
從來沒聽過日式洞飯吃2000要平分的	87	No
未來領退休金的時候就不會怕退休金被勞保局拿去買股票全都賠光光	88	No
你那奧斯卡最佳影片來跟國片比，未免太羞辱奧斯卡了吧！	89	Ironic
我不罵人，因為我罵的從來都不是人。	9	Ironic
寄生上流拍不出來，但，寄生新潮流確實可行。	90	Ironic
疫情影響啦。請充值台灣價值	91	Ironic
我努力賺錢買房繳房貸，為什麼廢物魯蛇可以租台北精華	92	No
這怎麼算是查水表 只是小小的暗示一下	93	No
這種標準公主雙標自助餐女巨嬰	94	Ironic
哇嗚 這麼久了 還搶的到一樓	95	No
什麼都要AA的台男，遇到岳父給房子住就不AA了	96	Ironic
光華商場是在蓋什麼世界奇觀？	97	Ironic
有黨證就算中產階級了，國家錢隨便賺	98	Ironic
萊豬也可以官員先吃阿	99	Ironic