ID	VC	text	id	sentiment
75		原來告示牌也是cosplay的，車子光天化日開進去	75	ironic
112		那為何還要先鋪個爛地 等到之後再處理爛攤子重新鋪路	112	no
84		就挾著根本很難用社宅處理的族群來打社宅，我是不懂這樣	84	no
60	willy	很快人均就要4萬鎂惹 好興奮!!!	60	ironic
106	123	選到我贏為止，這個還挺民主的	106	ironic
105	123	什麼是女生啊？新的手遊嗎？	105	ironic
116	xh	這些員工超幸福！公司提供靈魂洗滌假、全薪運動假	116	no
89	yf	你那奧斯卡最佳影片來跟國片比，未免太羞辱奧斯卡了吧！	89	ironic
72	maochang	八卦版鄉民-1	72	ironic
82	ben	阿北務實 阿北政績+1	82	ironic
62		年輕人生 老年人死 才能新陳代謝 維持整體族群健康	62	no
34	andrea	現在拿雙系統也很平常了，還在分哪邊好，跟統獨一樣白癡	34	no
86	am	接近後輸入指令：→↓↘ + 重拳  這樣就可以了	86	no
98	123	有黨證就算中產階級了，國家錢隨便賺	98	ironic
13	andrea	到現在都還沒人回 好邊緣	13	no
36		萊豬香噴噴	36	ironic
10	ariel	你長得很安全	10	ironic
15	yenchen	現在放棄，學期就結束囉～	15	ironic
59	willy	看看那精美的iphone價格	59	ironic
42	maochang	三寶又調皮了	42	ironic
38	andrea	有些人講話還真是不尊重專業阿：）	38	ironic
117	xh	薪水連垃圾袋都買不起嗎？哪你們要先離職才對...	117	no
102	123	注意！政府9月幫你虧了897億	102	ironic
115	xh	當老婆不用一堆內心戲 紀念日到了大家互相提早提醒	115	no
49	ariel	 睡吧，夢裡什麼都有	49	ironic
65	amy	啊妳們知道現在幾點嗎？？？？	65	no
73	maochang	這我一定吉	73	no
123	xh	想看陳時中示範室內游泳池戴法	123	ironic
113		如果遇到好老闆 或好機緣 創造足夠的被動收入 才可能突破到下一個階段	113	no
85	ariel	現在記者真有水準	85	ironic
91	yenchen	疫情影響啦。請充值台灣價值	91	ironic
7		我覺得世界上就只有兩種人能吸引人，一種是特別漂亮的一種就是你這樣的。	7	ironic
33	willy	萊豬檢驗問對岸最清楚，快篩試劑淘寶早就有賣	33	ironic
80	willy	有台灣價值就是熱心民眾 沒有就是檢舉魔人 懂?	80	ironic
118	xh	我妹當工程師月入才7萬而已	118	ironic
96	am	什麼都要AA的台男，遇到岳父給房子住就不AA了	96	ironic
23	willy	有萊豬可以吃當然幸福啊	23	ironic
63		疑~你剛不是很忙跑上跑下怎麼身上沒臭味反而有股牛奶味道	63	ironic
17		又不是在跟你講的 不要自抬身價	17	no
83	andrea	好了啦 再洗也不會白了啦	83	ironic
44	ariel	我猜明年春節一樓就會說 年菜美豬 竹筍爌肉 真香	44	ironic
104	123	台北人有錢 住不起的連人都不配當	104	no
70	yenchen	高雄人放心 卵男會讓高雄人ㄘ到營養豐富的萊豬！！	70	ironic
67	maochang	便宜的東西還在海上	67	no
78	amy	校內腳踏車安全已經是司空見慣的話題，但車速飛快的汽車更加危險。	78	no
29	amy	一年一度的年會果然名不虛傳	29	ironic
108	ben	不搬我今天晚上是要怎麼睡覺， 你這個問題也是蠻有想法的。	108	ironic
66	amy	拾獲者請明白拾遺不報這一類行為是犯法的	66	no
87	ben	從來沒聽過日式洞飯吃2000要平分的	87	no
53	don	什麼都不敢以身試法 zzzzz	53	no
0		你的樣子好棒喔，跟棒槌一個樣。	0	ironic
51	don	公共議題	51	no
55	don	車是拿來開 不是拿來碰碰車的	55	no
16	andrea	標題很會下	16	no
9		我不罵人，因為我罵的從來都不是人。	9	ironic
114	xh	如果恐龍妹找你聊歷史你會想認識他嗎？	114	no
21	maochang	蔡英文德政	21	ironic
26	andrea	父母親是真的老了很多呢	26	no
90	yf	寄生上流拍不出來，但，寄生新潮流確實可行。	90	ironic
2		拍腦袋決策，拍胸脯保證，拍屁股走人。	2	no
43	yf	川粉加油 不然沒東西一直笑很難過	43	ironic
71	don	這樣也自爽  宅男多愛自我催眠	71	no
101	123	韓國很強大 幫北韓工業區被炸掉 當作沒事	101	ironic
119	xh	在台灣，肝輕鬆爆	119	ironic
57	willy	薛丁格的台灣錢淹腳目	57	no
95	am	哇嗚 這麼久了 還搶的到一樓	95	ironic
19		這個跟砍頭實驗可以活多久一樣偉大 自己的實驗自己做	19	no
88		我努力賺錢買房繳房貸，為什麼廢物魯蛇可以租台北精華	88	no
11	amy	今天很早嘛。	11	ironic
6		長得真有創意，活得真有勇氣！	6	ironic
124	ariel	幹脆去搶警察局算了XD	124	no
40	maochang	我懷疑你在開車，但我沒有證據	40	no
52	don	可這種東西 感覺如果不是一群人玩 好像很無聊??	52	no
24	willy	別的我不知道 高雄肯定是最溫暖的 畢竟有個暖男市長	24	ironic
31	willy	高捷還會有日語  但台北的卻沒有  這點高雄國際化贏	31	no
12	ariel	喔喔是喔是喔	12	no
97	123	光華商場是在蓋什麼世界奇觀？	97	ironic
41	andrea	小姐妳怎麼什麼都不知道😅	41	no
20	amy	這種時候就跑第一個	20	ironic
74	don	笑死  笑著笑著就哭了  哭著哭著 就又笑了  XDDDDDDDDD	74	ironic
46	amy	住三樓都聽到你們的談話內容 身體很健康肺活量很好喔 中氣十足	46	ironic
109	amy	原來失竊一台不算什麼	109	ironic
93		這怎麼算是查水表 只是小小的暗示一下	93	ironic
30	willy	國際商工知名打架學校  國際化是這個意思吧	30	ironic
81	am	醒醒	81	no
120	xh	剛畢業警察時薪才163還比輔警低 可憐	120	no
18	yenchen	市長很暖就好，荒腔走板無所謂XD	18	ironic
121	xh	公務員有那麼好考？？	121	no
54	don	萊豬也可以先吃一下	54	ironic
5		忙碌是一種幸福，讓我們沒時間體會痛苦	5	no
22	andrea	電子菸可能要被永ban了	22	no
64	amy	尊重友善包容:)	64	no
125	ben	連保險套都幫你準備好了 真的溫馨	125	ironic
69	maochang	敦品勵學 愛國愛人	69	no
107	yf	台灣最強的大概就是九把刀了……	107	ironic
37	maochang	皮諾可，這個直接電死	37	no
28	willy	不，中壢火車站才是最國際化	28	ironic
94	am	這種標準公主雙標自助餐女巨嬰	94	no
47	am	各位北漂仔還願意回台南定居嗎？	47	no
1		牛糞就是牛糞，即便你再香餑餑，鮮花一般還是不會插在你身上的，因為那樣有辱美感。	1	no
39	maochang	建議提前預定小巨蛋場地，供萬人欣賞	39	ironic
56	don	南投就是個地靈人傑的好地方，有山水田園及名勝	56	no
35	andrea	空姐就是會飛講英文的服務員 不懂一堆人嚮往什麼	35	no
45	amy	現在在女五樓下側門外大聲講話的人類 祝你們一生平安☺️	45	ironic
61	maochang	妄想用法律綁住婚姻  笑死	61	no
111		現在的鄉民都經過科學化的訓練，怎麼可能會相信這種去脈絡化的對應關係	111	no
3		面具帶久了，那就是臉了。	3	no
126	ben	學店都不如，至少人家付了錢有床睡	126	no
122	xh	韓國會為了他蓋一條賽道嗎？	122	ironic
127	ben	笑死 這什麼處理方式 還把名字po出來 我看原po還不氣到直接睡路邊	127	no
77	yenchen	家教真好	77	no
110	am	發文前多想兩分鐘，不夠就五分鐘	110	no
8		世界上最圓的不一定是球喔	8	no
58	don	每日頭條這種網站還有人看？不可思議	58	no
92		我努力賺錢買房繳房貸，為什麼廢物魯蛇可以租台北精華	92	no
76	yenchen	把人家撞成植物人只要五百萬？真便宜	76	no
103	123	只要沒有台灣價值的都有可能掏空台灣。	103	ironic
14	andrea	每日頭條這種網站還有人看？不可思議	14	no
27	andrea	我就是故意坐在博愛座	27	no
99	123	萊豬也可以官員先吃阿	99	ironic
50	yenchen	蔡英文 : 好險我都吃法國菜 伊比利豬  (哈欠	50	ironic
48	am	4%仔感到欣慰	48	ironic
79	yenchen	學好中文再來	79	no
32		一 堆人大學只在混好意思說人家實習打工擔任學校社團幹部	32	ironic
100	123	這樣子藍綠撈錢會增加困難度 很不方便	100	no
4		真正的好朋友，並不是在一起就有聊不完的話題，而是在一起，就算不說話，也不會覺得尷尬。	4	no
25	willy	歡迎來高雄定居喔^ ^	25	ironic
68	don	醫生應該不用拚績效沒差吧	68	no
